Екатеринбург,ekaterinburg
Нижний Новгород,nizhniy_novgorod
Уфа,ufa
Краснодар,krasnodar
Казань,kazan
Самара,samara
Москва,moskva_i_mo
Санкт-Петербург,sankt_peterburg_i_lo
Сургут,surgut
Тюмень,tyumenskaya_oblast
Махачкала,dagestan
Ростов на Дону,rostov-na-donu
